 400.   562.00   0.28 0.0 0.100E+06  0.50  1.00  1.00  Teff, grav(MKS), Y, f_sed, kz_min, [Fe/H], C/O, f_hole
 70  26.5052477   1154.17 2.0247E+00  0.2854  0.2783 6.6604E-04
 71  31.4997924   1206.84 2.0189E+00  0.2834  0.2585 7.5705E-04
 72  37.4354894   1259.30 2.0148E+00  0.2816  0.2465 8.6210E-04
 73  44.4896859   1311.71 2.0124E+00  0.2797  0.2362 9.8329E-04
 74  52.8731474   1364.70 2.0110E+00  0.2778  0.2294 1.1228E-03
 75  62.8363554   1418.78 2.0103E+00  0.2760  0.2251 1.2830E-03
 76  74.6769912   1474.68 2.0093E+00  0.2740  0.2238 1.4668E-03
 77  88.7488299   1533.14 2.0092E+00  0.2720  0.2252 1.6773E-03
 78 105.4723105   1594.59 2.0091E+00  0.2700  0.2276 1.9169E-03
 79 125.3470981   1659.11 2.0093E+00  0.2678  0.2297 2.1873E-03
 80 148.9670125   1727.50 2.0099E+00  0.2656  0.2340 2.4950E-03
 81 177.0377708   1802.13 7.0691E+04  0.2634  0.2450 2.8419E-03
 82 210.3980724   1885.57 2.5746E+05  0.2608  0.2622 3.2280E-03
 83 250.0446581   1971.96 4.7678E+05  0.2581  0.2595 3.6701E-03
 84 297.1620905   2061.37 6.7426E+05  0.2554  0.2569 4.1758E-03
 85 353.1581467   2153.75 8.5898E+05  0.2524  0.2539 4.7562E-03
 86 419.7058796   2249.14 1.0092E+06  0.2495  0.2510 5.4182E-03
 87 498.7936057   2347.59 1.1653E+06  0.2463  0.2482 6.1756E-03
 88 592.7843120   2448.89 1.2740E+06  0.2429  0.2447 7.0425E-03
 89 704.4862575   2553.15 1.3447E+06  0.2398  0.2415 8.0420E-03
 90 837.2368785   2660.25 1.3634E+06  0.2358  0.2380 9.1894E-03
 91 999.0025047   2772.62 1.4512E+06  0.2320  0.2342 1.0528E-02
