  1000 119
 100.
      0.0  -33.0000  -33.0000  -33.0000  -33.0000
     20.0   -7.5136   -7.4838  -12.4326   -6.3510
     40.0   -6.9406   -7.0013  -12.2411   -5.8249
     60.0   -6.7829   -6.6875  -12.0594   -5.6644
     80.0   -6.7013   -6.5186  -11.8875   -5.5409
    100.0   -6.6819   -6.4069  -11.7256   -5.4629
    120.0   -6.6872   -6.3340  -11.5736   -5.4043
    140.0   -6.7066   -6.2888  -11.4315   -5.3631
    160.0   -6.7290   -6.2609  -11.2992   -5.3371
    180.0   -6.7433   -6.2461  -11.1768   -5.3264
    200.0   -6.7348   -6.2409  -11.0650   -5.3265
    220.0   -6.6847   -6.2414  -10.9601   -5.3256
    240.0   -6.5761   -6.2446  -10.8787   -5.3041
    260.0   -6.4053   -6.2471  -10.8061   -5.2330
    280.0   -6.1855   -6.2439  -10.7252   -5.0784
    300.0   -5.9393   -6.2298  -10.6512   -4.8228
    320.0   -5.6953   -6.2046  -10.5795   -4.4873
    340.0   -5.4932   -6.1751  -10.5164   -4.1566
    360.0   -5.3834   -6.1571  -10.4567   -4.0134
    380.0   -5.3803   -6.1653  -10.3954   -4.1201
    400.0   -5.4450   -6.1997  -10.3373   -4.3275
    420.0   -5.5351   -6.2499  -10.2805   -4.5279
    440.0   -5.6269   -6.3033  -10.2279   -4.7005
    460.0   -5.7038   -6.3499  -10.1773   -4.8357
    480.0   -5.7479   -6.3803  -10.1263   -4.9137
    500.0   -5.7376   -6.3828  -10.0770   -4.8954
    520.0   -5.6555   -6.3449  -10.0295   -4.7450
    540.0   -5.5083   -6.2720   -9.9834   -4.4714
    560.0   -5.3336   -6.1853   -9.9381   -4.1312
    580.0   -5.1930   -6.1077   -9.8935   -3.8577
    600.0   -5.1434   -6.0692   -9.8499   -3.8245
    620.0   -5.1839   -6.0873   -9.8074   -4.0001
    640.0   -5.2720   -6.1494   -9.7659   -4.2218
    660.0   -5.3766   -6.2308   -9.7250   -4.4271
    680.0   -5.4826   -6.3176   -9.6845   -4.6094
    700.0   -5.5838   -6.4046   -9.6447   -4.7715
    720.0   -5.6797   -6.4873   -9.6057   -4.9165
    740.0   -5.7712   -6.5626   -9.5674   -5.0447
    760.0   -5.8560   -6.6283   -9.5295   -5.1495
    780.0   -5.9297   -6.6848   -9.4919   -5.2072
    800.0   -5.9901   -6.7357   -9.4549   -5.1905
    820.0   -6.0465   -6.7845   -9.4184   -5.1912
    840.0   -6.1104   -6.8351   -9.3825   -5.3033
    860.0   -6.1795   -6.8913   -9.3468   -5.4629
    880.0   -6.2419   -6.9528   -9.3114   -5.6085
    900.0   -6.2860   -7.0156   -9.2763   -5.7372
    920.0   -6.3055   -7.0767   -9.2417   -5.8525
    940.0   -6.3176   -7.1360   -9.2074   -5.9580
    960.0   -6.3548   -7.1946   -9.1733   -6.0556
    980.0   -6.4231   -7.2529   -9.1394   -6.1441
   1000.0   -6.5055   -7.3096   -9.1058   -6.2171
   1020.0   -6.5895   -7.3641   -9.0725   -6.2612
   1040.0   -6.6693   -7.4168   -9.0395   -6.3146
   1060.0   -6.7412   -7.4683   -9.0067   -6.3958
   1080.0   -6.8009   -7.5186   -8.9741   -6.5475
   1100.0   -6.8407   -7.5667   -8.9416   -6.4412
   1120.0   -6.8492   -7.6123   -8.9093   -6.3209
   1140.0   -6.8182   -7.6557   -8.8773   -6.4406
   1160.0   -6.7646   -7.6979   -8.8454   -6.5051
   1180.0   -6.7387   -7.7393   -8.8136   -6.5831
   1200.0   -6.7731   -7.7802   -8.7820   -6.6566
   1220.0   -6.8497   -7.8208   -8.7506   -6.7304
   1240.0   -6.9414   -7.8614   -8.7193   -6.8034
   1260.0   -7.0349   -7.9024   -8.6881   -6.8761
   1280.0   -7.1246   -7.9440   -8.6571   -6.9486
